Computers & Internet/Internet ,62
Education ,48
Society/Special Occasions ,44
Computers & Internet/Operating Systems ,40
Consumer Electronics/Mobile Devices ,32
Business & Finance/Small business ,30
Entertainment & Recreation/Movies ,28
Entertainment & Recreation/Games & Recreation ,28
Travel/Transportation ,24
Consumer Electronics/Audio ,24
Computers & Internet/Software ,22
Home ,22
Beauty & Style ,20
Humanities/History ,20
Humanities/Art ,18
Computers & Internet/Programming ,18
Business & Finance/Real Estate ,16
Entertainment & Recreation/Jokes ,16
Society/Parenting ,16
Gardening ,16
Computers & Internet/Computers ,16
Environment ,14
Food & Drink/World cuisine ,12
Humanities/Language ,12
Society/Societal groups ,12
Society/Relationships ,12
Animals/Mammals ,12
Entertainment & Recreation/Television ,12
Business & Finance/Employment ,10
Business & Finance/Corporations ,8
Business & Finance/Accounting ,8
Animals/Birds ,8
Food & Drink/Restaurants & Bars ,8
Business & Finance/Advertising & Marketing ,8
Consumer Electronics/Video ,8
Humanities/Social Science ,6
Business & Finance/Management ,6
Entertainment & Recreation/Radio ,4
Entertainment & Recreation/Amusement Parks ,4
Science & Mathematics/Weather ,4
Entertainment & Recreation/Hobbies ,4
Animals/Fish ,4
Animals/Legendary Creatures ,4
Humanities/Religion & Spirituality ,4
Science & Mathematics/Astronomy & Space ,4
Business & Finance/Human Resources ,4
Business & Finance/Major Companies ,4
Society/Government ,4
Travel/Tourism ,4
Business & Finance/Business Law ,4
Business & Finance/International Business ,4
Science & Mathematics/Biology ,4
Health & Medicine/Diseases & Health Conditions ,4
Food & Drink/Cooking ,4
Travel/Accommodation ,4
Food & Drink/Beverages ,4
Entertainment & Recreation/Comics ,4
Business & Finance/Taxes ,4
Entertainment & Recreation/Anime ,4
Food & Drink/Alcoholic Drinks ,2
